player_id,name,hometown,positions,year,height,weight,season_wins,season_losses,season_games,season_ppg,season_opp_ppg,season_total,season_opp_total,class,performances,height_inches,weight_lbs
8803988330648042333,brian habeck,"jefferson, ga.",ol,2020,"6'3""",260 lbs,0,0,5,29.6,0,148.0,0,fr.,[],9.0,260.0
8803988330648042333,brian habeck,"jefferson, ga.",ol,2022,"6'3""",235 lbs,0,0,11,27.45,0,302.0,0,r-so.,[],9.0,235.0
8803988330648042333,brian habeck,"jefferson, ga.",ol,2023,"6'3""",260 lbs,0,0,9,26.11,0,235.0,0,so.,[],9.0,260.0
8803988330648042333,brian habeck,"jefferson, ga.",ol,2024,"6'3""",260 lbs,0,0,4,12.25,0,49.0,0,,[],9.0,260.0
-6327273260532044191,benjamin kienz,"schwäbisch hall, germany",ol,2020,"6'7""",295 lbs,0,0,5,29.6,0,148.0,0,fr.,[],13.0,295.0
-6327273260532044191,benjamin kienz,"schwäbisch hall, germany",ol,2024,"6'7""",295 lbs,0,0,4,12.25,0,49.0,0,,[],13.0,295.0
-8360677508959312028,marlo east jr.,"tennile, ga.",dl,2020,"6'2""",245 lbs,0,0,5,29.6,0,148.0,0,fr.,[],8.0,245.0
-8360677508959312028,marlo east jr.,"tennile, ga.",dl,2024,"6'2""",245 lbs,0,0,4,12.25,0,49.0,0,,[],8.0,245.0
7071306058773388888,kevin smith,"dacula, ga.",ol,2020,"6'1""",280 lbs,0,0,5,29.6,0,148.0,0,fr.,[],7.0,280.0
7071306058773388888,kevin smith,"dacula, ga.",ol,2023,"6'1""",275 lbs,0,0,9,26.11,0,235.0,0,r-fr.,[],7.0,275.0
7071306058773388888,kevin smith,"dacula, ga.",ol,2024,"6'1""",280 lbs,0,0,4,12.25,0,49.0,0,,[],7.0,280.0
-9003420358237486897,dylan hannon,"alpharetta, ga.","dl,ol",2020,"6'2""",295 lbs,0,0,5,29.6,0,148.0,0,fr.,[],8.0,295.0
-9003420358237486897,dylan hannon,"alpharetta, ga.","dl,ol",2022,"6'2""",290 lbs,0,0,11,27.45,0,302.0,0,r-so.,[],8.0,290.0
-9003420358237486897,dylan hannon,"alpharetta, ga.","dl,ol",2023,"6'2""",275 lbs,0,0,9,26.11,0,235.0,0,so.,[],8.0,275.0
-9003420358237486897,dylan hannon,"alpharetta, ga.","dl,ol",2024,"6'2""",295 lbs,0,0,4,12.25,0,49.0,0,,[],8.0,295.0
4735748421926453580,connor finer,"new port richey, fla.","te,wr",2020,"6'2""",215 lbs,0,0,5,29.6,0,148.0,0,fr.,[],8.0,215.0
4735748421926453580,connor finer,"new port richey, fla.","te,wr",2021,"6'2""",220 lbs,0,0,13,32.85,0,427.0,0,jr.,[],8.0,220.0
4735748421926453580,connor finer,"new port richey, fla.","te,wr",2022,"6'2""",215 lbs,0,0,11,27.45,0,302.0,0,r-jr.,[],8.0,215.0
4735748421926453580,connor finer,"new port richey, fla.","te,wr",2023,"6'2""",205 lbs,0,0,9,26.11,0,235.0,0,so.,[],8.0,205.0
